category,key,source_text,english,tagalog,notes
ui,ui.handa_ka_na_ba.3d1d1a77,Handa ka na ba?,Handa ka na ba?,Handa ka na ba?,
ui,ui.start.7196e7c2,START,START,START,
ui,ui.credits.338f52ba,CREDITS,CREDITS,CREDITS,
ui,ui.quit.5860c845,QUIT,QUIT,QUIT,
ui,ui.tutorial.d814d3e7,TUTORIAL,TUTORIAL,TUTORIAL,
ui,ui.settings.c4b92432,SETTINGS,SETTINGS,SETTINGS,
ui,ui.replay_intro.97d655de,REPLAY INTRO,REPLAY INTRO,REPLAY INTRO,
ui,ui.choose_difficulty.ba41810d,CHOOSE DIFFICULTY,CHOOSE DIFFICULTY,CHOOSE DIFFICULTY,
map,map.the_storm_will_not_wait.a4a7fdae,The storm will not wait.,The storm will not wait.,The storm will not wait.,
ui,ui.cancel.1507c40f,CANCEL,CANCEL,CANCEL,
ui,ui.loading.bb8af242,LOADING,LOADING,LOADING,
ui,ui.are_you_sure_you_want_to_quit.ac99b4cb,Are you sure you want to quit?,Are you sure you want to quit?,Are you sure you want to quit?,
ui,ui.quit.1a2285d8,Quit,Quit,Quit,
ui,ui.pick_up_item.c64fcaec,Pick Up Item,Pick Up Item,Pick Up Item,
ui,ui.leave.7e3520a9,Leave,Leave,Leave,
ui,ui.pick_up.4ebd928b,Pick Up,Pick Up,Pick Up,
ui,ui.press_e_to_pick_up.cd8bbe9e,Press E to pick up ,Press E to pick up ,Press E to pick up ,
ui,ui.tinulungan_mo_si_ate_linda_kaya_binabaan_niya_pr.3a7224d4,"Tinulungan mo si Ate Linda, kaya binabaan niya presyo para sa'yo.","You helped Ate Linda, so she lowered her prices for you.","Tinulungan mo si Ate Linda, kaya binabaan niya presyo para sa'yo.",
task,task.place_food.cb0aefb8,Place Food,Place Food,Place Food,
task,task.fix_broken_roof.a1c05f56,Fix Broken Roof,Fix Broken Roof,Fix Broken Roof,
task,task.do_task.60020326,Do Task,Do Task,Do Task,
task,task.board_window.f350f5b5,Board Window,Board Window,Board Window,
ui,ui.go_outside.a9441b53,Go Outside,Go Outside,Go Outside,
ui,ui.go_to_act1.2d56558e,go to act1,go to act1,go to act1,
shop,shop.give_ate_linda_your_hammer_so_she_lowers_her_pri.1cd96724,Give Ate Linda your hammer so she lowers her prices?,Give Ate Linda your hammer so she lowers her prices?,Give Ate Linda your hammer so she lowers her prices?,
ui,ui.trade.b0811e47,Trade,Trade,Trade,
ui,ui.not_now.e4571490,Not now,Not now,Not now,
ui,ui.talk_to_ate_linda.0f7b3983,Talk to Ate Linda,Talk to Ate Linda,Talk to Ate Linda,
ui,ui.buy_from_ate_linda.15cbc63b,Buy from Ate Linda,Buy from Ate Linda,Buy from Ate Linda,
ui,ui.ate_linda.01af15db,Ate Linda,Ate Linda,Ate Linda,
dialogue,dialogue.iho_kung_may_martilyo_ka_sana_maayos_ko_itong_is.e2250939,"Iho, kung may martilyo ka sana, maayos ko itong istante. Kapag natulungan mo ako, bababaan ko presyo ko sa'yo.","Boy, if you have a hammer, I could fix this shelf. If you help me, I'll lower my prices for you.","Iho, kung may martilyo ka sana, maayos ko itong istante. Kapag natulungan mo ako, bababaan ko presyo ko sa'yo.",
ui,ui.ipapahiram_mo_sige_utang_na_loob_ko_to_ibababa_k.cbd68ffa,"Ipapahiram mo? Sige, utang na loob ko 'to. Ibababa ko presyo, pero kailangan mo ng pamalit kung aayusin mo pa bahay n'yo.","You'll lend it to me? Alright, I owe you one. I'll lower my prices, but you'll need a replacement if you still have to fix your house.","Ipapahiram mo? Sige, utang na loob ko 'to. Ibababa ko presyo, pero kailangan mo ng pamalit kung aayusin mo pa bahay n'yo.",
dialogue,dialogue.salamat_iho_para_sa_yo_mas_mababa_na_presyo.a1f8a875,"Salamat, iho. Para sa'yo, mas mababa na presyo.","Thank you, boy. For you, the prices are lower now.","Salamat, iho. Para sa'yo, mas mababa na presyo.",
ui,ui.pasensya_na_at_mataas_presyo_kung_may_martilyo_k.9c839390,"Pasensya na at mataas presyo. Kung may martilyo ka sana para dito sa istante, bababaan ko presyo ko sa'yo.","Sorry the prices are high. If only you had a hammer for this shelf, I'd lower my prices for you.","Pasensya na at mataas presyo. Kung may martilyo ka sana para dito sa istante, bababaan ko presyo ko sa'yo.",
ui,ui.buy_from_grocery.ebcaff30,Buy from Grocery,Buy from Grocery,Buy from Grocery,
ui,ui.grocery_girl.f72ddfba,Grocery Girl,Grocery Girl,Grocery Girl,
ui,ui.buy_from_hardware.00de97ec,Buy from Hardware,Buy from Hardware,Buy from Hardware,
ui,ui.hardware_girl.f627f3c4,Hardware Girl,Hardware Girl,Hardware Girl,
dialogue,dialogue.lola.bf580931,Lola,Lola,Lola,
dialogue,dialogue.nanay.ebe83cb5,Nanay,Nanay,Nanay,
ui,ui.talk.4e6a710d,Talk,Talk,Talk,
ui,ui.chris.1001b22c,Chris,Chris,Chris,
ui,ui.wews.8c714887,Wews,Wews,Wews,
ui,ui.chris_na_malungkot.3955be38,Chris na malungkot,Chris na malungkot,Chris na malungkot,
item,item.buy_medicine.c138d836,Buy Medicine,Buy Medicine,Buy Medicine,
ui,ui.pharmacy_boy.16513445,Pharmacy Boy,Pharmacy Boy,Pharmacy Boy,
ui,ui.press_e_to_interact.200ee3e8,press E to interact,press E to interact,press E to interact,
ui,ui.talk_to_mang_nestor.5e0ae7f8,Talk to Mang Nestor,Talk to Mang Nestor,Talk to Mang Nestor,
ui,ui.mang_nestor.ef33268f,Mang Nestor,Mang Nestor,Mang Nestor,
dialogue,dialogue.anak_pwede_bang_makisuyo_hindi_ako_makaalis_hini.bf312dc4,"Anak, pwede bang makisuyo? Hindi ako makaalis, hinihintay ko pa asawa ko.","Child, could I ask you a favor? I can't leave yet. I'm still waiting for my spouse.","Anak, pwede bang makisuyo? Hindi ako makaalis, hinihintay ko pa asawa ko.",
shop,shop.bilhan_mo_sana_ako_ng_half_chicken_sa_go_to_choo.90dd4c9d,"Bilhan mo sana ako ng Half Chicken sa Go To Chooks. Nasa tabi lang iyon ng Botika, doon sa may Pharmacy.","Could you buy me a Half Chicken from Go To Chooks? It's right beside the drugstore, near the pharmacy.","Bilhan mo sana ako ng Half Chicken sa Go To Chooks. Nasa tabi lang iyon ng Botika, doon sa may Pharmacy.",
ui,ui.eto_php_150_ikaw_na_bahala_sa_sukli_basta_sana_m.3c534d07,"Eto, PHP 150. Ikaw na bahala sa sukli. Basta sana makauwi kami na may hapunan.","Here, PHP 150. You can keep the change. I just hope we can go home with dinner.","Eto, PHP 150. Ikaw na bahala sa sukli. Basta sana makauwi kami na may hapunan.",
dialogue,dialogue.wala_pa_sige_anak_nagtitiwala_pa_rin_ako_sa_yo_g.88724c69,"Wala pa? Sige, anak. Nagtitiwala pa rin ako sa'yo. Go To Chooks iyon, katabi lang ng Pharmacy.","Not yet? Alright, child. I still trust you. It's Go To Chooks, right beside the pharmacy.","Wala pa? Sige, anak. Nagtitiwala pa rin ako sa'yo. Go To Chooks iyon, katabi lang ng Pharmacy.",
item,item.ay_salamat_hindi_ko_sinabi_kanina_pero_may_extra.f2d27b78,"Ay, salamat. Hindi ko sinabi kanina, pero may extra tarp ako sa tricycle. Kunin mo. Mas kailangan n'yo 'to sa bahay.","Oh, thank you. I didn't mention it earlier, but I have an extra tarp in the tricycle. Take it. Your family needs this more at home.","Ay, salamat. Hindi ko sinabi kanina, pero may extra tarp ako sa tricycle. Kunin mo. Mas kailangan n'yo 'to sa bahay.",
item,item.naku_puno_ang_dala_mo_magbawas_ka_muna_para_maab.150ff5af,"Naku, puno ang dala mo. Magbawas ka muna para maabot ko sa'yo itong tarp.","Oh no, you're carrying too much. Lighten your load first so I can hand you this tarp.","Naku, puno ang dala mo. Magbawas ka muna para maabot ko sa'yo itong tarp.",
dialogue,dialogue.salamat_ulit_anak_umuwi_ka_na_rin_bago_tuluyang_.eb11868a,"Salamat ulit, anak. Umuwi ka na rin bago tuluyang lumakas ang hangin.","Thanks again, child. You should go home too before the wind gets even stronger.","Salamat ulit, anak. Umuwi ka na rin bago tuluyang lumakas ang hangin.",
ui,ui.stranger.5d603318,Stranger,Stranger,Stranger,
ui,ui.pasensya_na_kulang_pamasahe_ko_pauwi_may_maiaabo.c9424559,Pasensya na. Kulang pamasahe ko pauwi. May maiaabot ka bang konti?,I'm sorry. I'm short on fare to get home. Could you spare a little?,Pasensya na. Kulang pamasahe ko pauwi. May maiaabot ka bang konti?,
ui,ui.salamat_hindi_ko_makakalimutan_to.4940ab4a,Salamat. Hindi ko makakalimutan 'to.,Thank you. I won't forget this.,Salamat. Hindi ko makakalimutan 'to.,
ui,ui.tambay.fbddbf8c,Tambay,Tambay,Tambay,
dialogue,dialogue.stress_ka_na_rin_ba_sa_bagyo_yosi_muna_tayo_sa_g.30149cbc,Stress ka na rin ba sa bagyo? Yosi muna tayo sa gilid. Sandali lang.,Are you stressed about the storm too? Let's have a smoke on the side. Just for a moment.,Stress ka na rin ba sa bagyo? Yosi muna tayo sa gilid. Sandali lang.,
ui,ui.ayos_na_pero_lumakas_na_ulan_ah_sana_sulit_yung_.92d06b17,"Ayos na. Pero lumakas na ulan, ah. Sana sulit yung pahinga.","Alright. But the rain got heavier, huh. Hope that break was worth it.","Ayos na. Pero lumakas na ulan, ah. Sana sulit yung pahinga.",
ui,ui.ate_maribel.d67803a3,Ate Maribel,Ate Maribel,Ate Maribel,
shop,shop.kung_manok_hanap_mo_nasa_tabi_lang_ng_botika_yun.e582108b,"Kung manok hanap mo, nasa tabi lang ng Botika yung Go To Chooks.","If you're looking for chicken, Go To Chooks is right beside the drugstore.","Kung manok hanap mo, nasa tabi lang ng Botika yung Go To Chooks.",
ui,ui.naamoy_mo_na_bago_mo_makita_effective_signage_di.f2fe28fb,Naamoy mo na bago mo makita. Effective signage din pala ang gutom.,You smell it before you see it. Hunger really does make effective signage.,Naamoy mo na bago mo makita. Effective signage din pala ang gutom.,
ui,ui.tauhan_ni_kap.297fed52,Tauhan ni Kap,Tauhan ni Kap,Tauhan ni Kap,
item,item.utos_lang_ni_kapitan_sabi_niya_bilhin_ko_lahat_n.796ce2d7,"Utos lang ni Kapitan. Sabi niya bilhin ko lahat ng pako, tarp, plywood... lahat daw kailangan sa barangay.","Just following the Captain's orders. He told me to buy all the nails, tarps, plywood... everything the barangay needs.","Utos lang ni Kapitan. Sabi niya bilhin ko lahat ng pako, tarp, plywood... lahat daw kailangan sa barangay.",
dialogue,dialogue.hindi_ko_na_tinanong_kung_bakit_sa_bodega_niya_m.8469afec,"Hindi ko na tinanong kung bakit sa bodega niya muna dadalhin. Trabaho lang, iho.","I didn't ask why he's bringing them to his storage room first. Just doing my job, boy.","Hindi ko na tinanong kung bakit sa bodega niya muna dadalhin. Trabaho lang, iho.",
map,map.palengke_queue_man.9dd3d96d,Palengke Queue Man,Palengke Queue Man,Palengke Queue Man,
ui,ui.kanina_pa_ako_nakapila_yung_iba_doble_doble_ang_.266a3c96,"Kanina pa ako nakapila. Yung iba, doble-doble ang binibili.",I've been in line for a while. Some people are buying twice as much.,"Kanina pa ako nakapila. Yung iba, doble-doble ang binibili.",
ui,ui.kung_kukuha_ka_ng_de_lata_kumuha_ka_lang_ng_kaya.edc3e206,"Kung kukuha ka ng de lata, kumuha ka lang ng kaya mong dalhin. May kasunod ka pa.","If you're getting canned goods, only take what you can carry. There are people behind you.","Kung kukuha ka ng de lata, kumuha ka lang ng kaya mong dalhin. May kasunod ka pa.",
ui,ui.panic_buyer.fbee58d9,Panic Buyer,Panic Buyer,Panic Buyer,
ui,ui.kailangan_ko_pa_ng_lima_hindi_sampu_paano_kung_i.22a0be66,"Kailangan ko pa ng lima... hindi, sampu! Paano kung isang linggo walang kuryente?","I still need five more... no, ten! What if the power is out for a week?","Kailangan ko pa ng lima... hindi, sampu! Paano kung isang linggo walang kuryente?",
ui,ui.wait_may_budget_pa_ba_ako_ayoko_tingnan.53bac4f2,"Wait, may budget pa ba ako? Ayoko tingnan.","Wait, do I still have enough budget? I don't want to check.","Wait, may budget pa ba ako? Ayoko tingnan.",
ui,ui.kapitbahay.3a3f0fe3,Kapitbahay,Kapitbahay,Kapitbahay,
ui,ui.nag_tape_na_ako_ng_bintana_hindi_ko_alam_kung_sc.bd220917,Nag-tape na ako ng bintana. Hindi ko alam kung science o dasal ang gumagana.,I've taped up the window. I don't know whether it's science or prayer that's working.,Nag-tape na ako ng bintana. Hindi ko alam kung science o dasal ang gumagana.,
ui,ui.tatay_jun.92aee1b3,Tatay Jun,Tatay Jun,Tatay Jun,
dialogue,dialogue.lahat_naghahanap_ng_pako_ngayon_parang_exam_pero.072bae89,"Lahat naghahanap ng pako ngayon. Parang exam, pero bubong ang reviewer.","Everyone is looking for nails right now. It's like an exam, except the roof is the reviewer.","Lahat naghahanap ng pako ngayon. Parang exam, pero bubong ang reviewer.",
ui,ui.kung_may_martilyo_ka_ingatan_mo_kapag_nawala_yan.830210ae,"Kung may martilyo ka, ingatan mo. Kapag nawala 'yan, gastos na naman.","If you have a hammer, take care of it. If you lose it, that's another expense.","Kung may martilyo ka, ingatan mo. Kapag nawala 'yan, gastos na naman.",
dialogue,dialogue.nanay_sa_palengke.0ce92acd,Nanay sa Palengke,Nanay sa Palengke,Nanay sa Palengke,
ui,ui.basa_na_sapatos_ko_pero_kailangan_pa_rin_pumila_.16919b81,"Basa na sapatos ko, pero kailangan pa rin pumila. May bata akong naghihintay sa bahay.","My shoes are soaked, but I still have to wait in line. I have a child waiting at home.","Basa na sapatos ko, pero kailangan pa rin pumila. May bata akong naghihintay sa bahay.",
ui,ui.kapag_may_nakuha_kang_extra_isipin_mo_rin_kung_s.54d58d95,"Kapag may nakuha kang extra, isipin mo rin kung sino pa ang wala.","If you get anything extra, think about who still has none.","Kapag may nakuha kang extra, isipin mo rin kung sino pa ang wala.",
dialogue,dialogue.ohnanay.5ac2abe4,OHNanay,OHNanay,OHNanay,
dialogue,dialogue.ohnanay.3c2c2d4d,OHNANAY,OHNANAY,OHNANAY,
ui,ui.ate_linda.4c43a37c,Ate linda,Ate linda,Ate linda,
